Hva er hovedstaden i Frankrike?; Paris; London; Berlin
Hva er det største planeten i vårt solsystem?; Jupiter; Mars; Saturn
Hva er det kjemiske symbolet for gull?; Au; Ag; Fe
Hvem skrev "Romeo og Julie"?; William Shakespeare; Charles Dickens; Jane Austen
Hva er verdens lengste elv?; Amazonas; Nilen; Yangtze
Hva er det største havdyret?; Blåhval; Hvithai; Kjempeblekksprut
Hva er hovedstaden i Australia?; Canberra; Sydney; Melbourne
Hva er den største øya i verden?; Grønland; Madagaskar; New Guinea
Hvem malte Mona Lisa?; Leonardo da Vinci; Vincent van Gogh; Pablo Picasso
Hva er det høyeste fjellet i verden?; Mount Everest; K2; Kangchenjunga
Hva er hovedstaden i Canada?; Ottawa; Toronto; Vancouver
Hva er det største landet etter areal?; Russland; Canada; Kina
Hva er det mest talte språket i verden?; Mandarin; Spansk; Engelsk
Hvem skrev "Harry Potter"-serien?; J.K. Rowling; J.R.R. Tolkien; George R.R. Martin
Hva er verdens største ørken?; Sahara; Gobi; Antarktis
Hva er hovedstaden i Japan?; Tokyo; Kyoto; Osaka
Hva er det største kontinentet?; Asia; Afrika; Nord-Amerika
Hvem komponerte den 9. symfonien?; Ludwig van Beethoven; Wolfgang Amadeus Mozart; Johann Sebastian Bach
Hva er verdens lengste mur?; Den kinesiske mur; Hadrians mur; Berlinmuren
Hva er hovedstaden i Brasil?; Brasília; Rio de Janeiro; São Paulo
Hva er det største havet?; Stillehavet; Atlanterhavet; Indiahavet
Hvem oppfant telefonen?; Alexander Graham Bell; Thomas Edison; Nikola Tesla
Hva er verdens største innsjø?; Kaspihavet; Bajkalsjøen; Superior
Hva er hovedstaden i Egypt?; Kairo; Alexandria; Giza
Hva er det største landet i Afrika?; Algerie; Kongo; Sudan
Hvem skrev "1984"?; George Orwell; Aldous Huxley; Ray Bradbury
Hva er verdens største korallrev?; Great Barrier Reef; Red Sea Coral Reef; Mesoamerican Barrier Reef
Hva er hovedstaden i Tyskland?; Berlin; München; Hamburg
Hva er det største landet i Sør-Amerika?; Brasil; Argentina; Colombia
Hvem malte "Stjernenatt"?; Vincent van Gogh; Claude Monet; Salvador Dalí
Hva er verdens største vannfall?; Angel Falls; Iguazu Falls; Victoria Falls
Hva er hovedstaden i Italia?; Roma; Milano; Napoli
Hva er det største landet i Midtøsten?; Saudi-Arabia; Iran; Tyrkia
Hvem skrev "Moby Dick"?; Herman Melville; Nathaniel Hawthorne; Edgar Allan Poe
Hva er verdens største vulkan?; Mauna Loa; Krakatoa; Vesuv
Hva er hovedstaden i Spania?; Madrid; Barcelona; Sevilla
Hva er det største landet i Nord-Amerika?; Canada; USA; Mexico
Hvem komponerte "Four Seasons"?; Antonio Vivaldi; Ludwig van Beethoven; Johann Sebastian Bach
Hva er verdens største regnskog?; Amazonas; Kongo; Daintree
Hva er hovedstaden i India?; New Delhi; Mumbai; Bangalore
Hva er det største landet i Europa?; Russland; Ukraina; Frankrike
Hvem skrev "Don Quixote"?; Miguel de Cervantes; Fjodor Dostojevskij; Leo Tolstoj
Hva er verdens største saltvannsinnsjø?; Kaspihavet; Aralsjøen; Dødehavet
Hva er hovedstaden i Sør-Korea?; Seoul; Busan; Incheon
Hva er det største landet i Oseania?; Australia; New Zealand; Papua Ny-Guinea
Hvem malte "Den siste nattverd"?; Leonardo da Vinci; Michelangelo; Raphael
Hva er verdens største øy?; Grønland; New Guinea; Borneo
Hva er hovedstaden i Sør-Afrika?; Pretoria; Cape Town; Johannesburg
Hva er det største landet i Sentral-Amerika?; Nicaragua; Honduras; Costa Rica
Hvem skrev "Krig og fred"?; Leo Tolstoj; Fjodor Dostojevskij; Anton Tsjekhov
Hva er verdens største ferskvannsinnsjø?; Bajkalsjøen; Superior; Victoria
Hva er hovedstaden i Argentina?; Buenos Aires; Córdoba; Rosario
Hva er det største landet i Nord-Europa?; Russland; Sverige; Norge
Hvem komponerte "Eine kleine Nachtmusik"?; Wolfgang Amadeus Mozart; Ludwig van Beethoven; Johann Sebastian Bach
Hva er verdens største ørken?; Sahara; Gobi; Antarktis
Hva er hovedstaden i Hellas?; Athen; Thessaloniki; Patras
Hva er det største landet i Sørøst-Asia?; Indonesia; Thailand; Vietnam
Hvem skrev "Odysseen"?; Homer; Vergil; Ovid
Hva er verdens største havdyp?; Marianergropen; Puerto Rico-gropen; Tongagropen
Hva er hovedstaden i Polen?; Warszawa; Kraków; Łódź
Hva er det største landet i Vest-Europa?; Frankrike; Tyskland; Storbritannia
Hvem malte "Guernica"?; Pablo Picasso; Salvador Dalí; Joan Miró
Hva er verdens største fjellkjede?; Himalaya; Andes; Rocky Mountains
Hva er hovedstaden i Nederland?; Amsterdam; Rotterdam; Haag
Hva er det største landet i Øst-Europa?; Russland; Ukraina; Polen
Hvem skrev "Dracula"?; Bram Stoker; Mary Shelley; H.G. Wells
Hva er verdens største elv?; Amazonas; Nilen; Yangtze
Hva er hovedstaden i Portugal?; Lisboa; Porto; Coimbra
Hva er det største landet i Nord-Afrika?; Algerie; Egypt; Marokko
Hvem komponerte "Symfoni nr. 5"?; Ludwig van Beethoven; Wolfgang Amadeus Mozart; Johann Sebastian Bach
Hva er verdens største øy?; Grønland; New Guinea; Borneo
Hva er hovedstaden i Danmark?; København; Aarhus; Odense
Hva er det største landet i Sentral-Asia?; Kasakhstan; Usbekistan; Turkmenistan
Hvem skrev "Frankenstein"?; Mary Shelley; Bram Stoker; H.G. Wells
Hva er verdens største innsjø?; Kaspihavet; Bajkalsjøen; Superior
Hva er hovedstaden i Finland?; Helsingfors; Tammerfors; Åbo
Hva er det største landet i Sør-Asia?; India; Pakistan; Bangladesh
Hvem malte "Nattvakten"?; Rembrandt; Johannes Vermeer; Frans Hals
Hva er verdens største vulkan?; Mauna Loa; Krakatoa; Vesuv
Hva er hovedstaden i Sverige?; Stockholm; Göteborg; Malmö
Hva er det største landet i Aust-Asia?; Kina; Japan; Sør-Korea
Hvem skrev "Jorden rundt på 80 dager"?; Jules Verne; H.G. Wells; Arthur Conan Doyle
Hva er verdens største korallrev?; Great Barrier Reef; Red Sea Coral Reef; Mesoamerican Barrier Reef
Hva er hovedstaden i Norge?; Oslo; Bergen; Trondheim
Hva er det største landet i Vest-Asia?; Saudi-Arabia; Tyrkia; Iran
Hvem komponerte "Natt i Baldakinen"?; Claude Debussy; Maurice Ravel; Erik Satie
Hva er verdens største regnskog?; Amazonas; Kongo; Daintree
Hva er hovedstaden i Belgia?; Brussel; Antwerpen; Gent
Hva er det største landet i Sentral-Afrika?; Den demokratiske republikken Kongo; Den sentralafrikanske republikk; Tsjad
Hvem skrev "Alice i Eventyrland"?; Lewis Carroll; C.S. Lewis; J.R.R. Tolkien
Hva er verdens største vannfall?; Angel Falls; Iguazu Falls; Victoria Falls
Hva er hovedstaden i Østerrike?; Wien; Salzburg; Innsbruck
Hva er det største landet i Sørøst-Europa?; Tyrkia; Hellas; Bulgaria
Hvem malte "Skrik"?; Edvard Munch; Gustav Klimt; Egon Schiele
Hva er verdens største ferskvannsinnsjø?; Bajkalsjøen; Superior; Victoria
Hva er hovedstaden i Tsjekkia?; Praha; Brno; Ostrava
Hva er det største landet i Nord-Afrika?; Algerie; Egypt; Marokko
Hvem skrev "Middlemarch"?; George Eliot; Charlotte Brontë; Jane Austen
Hva er verdens største ørken?; Sahara; Gobi; Antarktis
Hva er hovedstaden i Ungarn?; Budapest; Debrecen; Szeged
Hvem spilte Jack Dawson i filmen "Titanic"?; Leonardo DiCaprio; Matt Damon; Brad Pitt
Hva heter hovedpersonen i "Harry Potter"-serien?; Harry Potter; Ron Weasley; Hermione Granger
Hvilken superhelt er kjent som "Mannen av stål"?; Superman; Batman; Spider-Man
Hva heter hovedpersonen i TV-serien "Game of Thrones"?; Jon Snow; Tyrion Lannister; Daenerys Targaryen
Hvem spilte hovedrollen i filmen "Forrest Gump"?; Tom Hanks; Tom Cruise; Harrison Ford
Hvilken gruppe sang "Bohemian Rhapsody"?; Queen; The Beatles; The Rolling Stones
Hva heter hovedpersonen i "Star Wars"-serien?; Luke Skywalker; Han Solo; Darth Vader
Hvem spilte Tony Stark/Iron Man i Marvel Cinematic Universe?; Robert Downey Jr.; Chris Evans; Chris Hemsworth
Hvilken film inneholder sangen "Let It Go"?; Frozen; Tangled; Moana
Hvem skrev boken "To Kill a Mockingbird"?; Harper Lee; J.K. Rowling; George Orwell
Hvilken TV-serie handler om en kjemilærer som blir metamfetaminprodusent?; Breaking Bad; The Walking Dead; Stranger Things
Hvem spilte hovedrollen som Marty McFly i "Back to the Future"?; Michael J. Fox; Christopher Lloyd; Crispin Glover
Hvilken superhelt er kjent for sine spindelvev-aktige evner?; Spider-Man; Batman; Superman
Hva heter hovedpersonen i "The Lord of the Rings"?; Frodo Baggins; Aragorn; Gandalf
Hvem spilte hovedrollen i filmen "The Dark Knight"?; Christian Bale; Heath Ledger; Aaron Eckhart
Hvilken film inneholder sangen "Hakuna Matata"?; The Lion King; Aladdin; The Little Mermaid
Hvem skrev boken "1984"?; George Orwell; Aldous Huxley; Ray Bradbury
